FFMC,DMC,DC,ISI,temp,RH,wind,rain,area,month_apr,month_aug,month_dec,month_feb,month_jan,month_jul,month_jun,month_mar,month_may,month_nov,month_oct,month_sep
90.6,35.4,669.1,6.7,18.0,33,0.9,0.0,0.0,False,False,False,False,False,False,False,False,False,False,True,False
90.6,43.7,686.9,6.7,14.6,33,1.3,0.0,0.0,False,False,False,False,False,False,False,False,False,False,True,False
92.3,85.3,488.0,14.7,22.2,29,5.4,0.0,0.0,False,True,False,False,False,False,False,False,False,False,False,False
92.3,88.9,495.6,8.5,24.1,27,3.1,0.0,0.0,False,True,False,False,False,False,False,False,False,False,False,False
91.0,129.5,692.6,7.0,13.1,63,5.4,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,True
92.5,88.0,698.6,7.1,22.8,40,4.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,True
92.5,88.0,698.6,7.1,17.8,51,7.2,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,True
90.9,126.5,686.5,7.0,21.3,42,2.2,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,True
92.9,133.3,699.6,9.2,26.4,21,4.5,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,True
93.3,141.2,713.9,13.9,22.9,44,5.4,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,True
91.7,35.8,80.8,7.8,15.1,27,5.4,0.0,0.0,False,False,False,False,False,False,False,True,False,False,False,False
89.2,27.9,70.8,6.3,15.9,35,4.0,0.0,0.0,False,False,False,False,False,False,False,True,False,False,False,False
91.0,129.5,692.6,7.0,18.3,40,2.7,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,True
91.8,78.5,724.3,9.2,19.1,38,2.7,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,True
90.2,110.9,537.4,6.2,19.5,43,5.8,0.0,0.0,False,True,False,False,False,False,False,False,False,False,False,False
91.4,142.4,601.4,10.6,16.3,60,5.4,0.0,0.0,False,True,False,False,False,False,False,False,False,False,False,False
92.4,117.9,668.0,12.2,19.0,34,5.8,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,True
90.9,126.5,686.5,7.0,19.4,48,1.3,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,True
93.4,145.4,721.4,8.1,30.2,24,2.7,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,True
93.5,149.3,728.6,8.1,22.8,39,3.6,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,True
88.6,91.8,709.9,7.1,11.2,78,7.6,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,True
88.6,69.7,706.8,5.8,20.6,37,1.8,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,True
91.7,75.6,718.3,7.8,17.7,39,3.6,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,True
91.8,78.5,724.3,9.2,21.2,32,2.7,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,True
90.3,80.7,730.2,6.3,18.2,62,4.5,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,True
